Requirements;Description;Requirement Specification;Component;Test ID;REC-Nr. Specification;Related Specification;REC-Nr. (related Spec.);<- Verification of Implementation Spec.;<- Verification of Implementation related Spec
UR-053;With the system the user must be able to automatically focus the sample.;S-EL-001;;T-SF-MPA-007;"REC-00085 REC-00263
REC-00901
REC-00520";;;;
;;SSRS-MPA-035;"MPA-SIP

";"T-UI-MPA-RSP-007

T-IB-MPA-RSP-010";REC-00884;;;;
;;SSRS-MPA-062;MPA-SIP;T-UI-MPA-RSP-038;REC-00884;;;;
;;SSRS-MPA-066;MPA-SIP;T-UI-MPA-RSP-042;REC-00884;;;;
;;SSRS-MPA-177;"	
MPA-SIP";"	
T-IB-MPA-RSP-010

T-SF-MPA-RSP-007";REC-00884;;;PIO22RM-033;
;;SSRS-MPA-178;"	
MPA-SIP";"	
T-SF-MPA-RSP-008";REC-00884;;;;
;;SSRS-MPA-179;"	
MPA-SIP";"T-IB-MPA-RSP-011

T-SF-MPA-RSP-009";REC-00884;;;;
;;SSRS-MPA-180;"	
MPC";"T-INT-MPNG-013

T-INT-MPNG-016";REC-00863;;;;
;;SSRS-MPA-181;"MPA
";"T-SF-MPA-RSP-010

T-SF-MPA-RSP-011

T-SF-MPA-RSP-014

T-SF-MPA-RSP-015";REC-00884;;;;
;;SSRS-MPA-182;"MPA
";"	
T-SF-MPA-RSP-012";REC-00884;;;;
;;SSRS-MPA-183;"	
MPC";T-PERF-SYS-005;REC-00863;;;;
;;SSRS-MPA-184;MPC;"	
T-INT-MPNG-013";REC-00863;;;;
;;SSRS-MPA-185;"MPA
";"T-SF-MPA-RSP-013
";REC-00884;;;;
;;Z-EL-005;;;REC-00074;;;;
;;Z-EL-008;;;REC-00317;;;;
;;Z-EL-009;;;REC-00078;;;;
;;Z-FW-010;;;", REC-00520
, REC-00227";Z-FW-011;", REC-00520
, REC-00227";;
;;;;;;Z-FW-012;, REC-00520;;PIO22RM-037
;;;;;;Z-FW-013;", REC-00520
, REC-00227";;
;;;;;;Z-FW-014;", REC-00520
, REC-00227";;
;;;;;;Z-FW-051;, REC-00520;;
;;Z-FW-015;;;, REC-00520;Z-FW-103;, REC-00520;;
;;;;;;Z-FW-104;, REC-00520;;
;;Z-FW-054;;;, REC-00520;;;;
;;Z-FW-059;;;, REC-00520;Z-FW-056;, REC-00520;;
UR-054;With the system the user must be able to manually adjust the focus.;S-EL-001;;;"REC-00085 REC-00263
REC-00901
REC-00520";;;;
;;SSRS-MPA-036;"MPA-SIP

";"T-UI-MPA-RSP-008

T-IB-MPA-RSP-012";REC-00884;;;;
;;SSRS-MPA-062;MPA-SIP;T-UI-MPA-RSP-038;REC-00884;;;;
;;SSRS-MPA-063;"MPA-SIP
";"
T-UI-MPA-RSP-039

T-IB-MPA-RSP-032

T-IB-MPA-RSP-033

T-IB-MPA-RSP-034

T-IB-MPA-RSP-035

T-IB-MPA-RSP-036

T-IB-MPA-RSP-038";REC-00884;;;;
;;SSRS-MPA-064;MPA-SIP;T-UI-MPA-RSP-040;REC-00884;;;;
;;SSRS-MPA-065;"MPA-SIP
";"
T-UI-MPA-RSP-041

T-IB-MPA-RSP-037";REC-00884;;;;
;;SSRS-MPA-066;MPA-SIP;T-UI-MPA-RSP-042;REC-00884;;;;
;;SSRS-MPA-186;MPA-SIP;"	
T-IB-MPA-RSP-012

T-SF-MPA-RSP-016";REC-00884;;;;
;;SSRS-MPA-187;"	
MPA-SIP"; T-SF-MPA-RSP-016;REC-00884;;;;
;;SSRS-MPA-188;MPA-SIP;"T-SF-MPA-RSP-017

T-SF-MPA-RSP-018";REC-00884;;;;
;;SSRS-MPA-189;MPA-SIP;"T-SF-MPA-RSP-016

T-SF-MPA-RSP-019";REC-00884;;;;
;;SSRS-MPA-190;MPA-SIP;T-SF-MPA-RSP-020;REC-00884;;;;
;;SSRS-MPA-191;MPA-SIP;T-SF-MPA-RSP-021;REC-00884;;;;
;;SSRS-MPA-192;MPA-SIP;T-SF-MPA-RSP-021;REC-00884;;;;
;;SSRS-MPA-193;MPA-SIP;T-SF-MPA-RSP-021;REC-00884;;;;
;;Z-EL-005;;;REC-00074;;;;
;;Z-EL-007;;;REC-00076;;;;
;;Z-EL-008;;;REC-00317;;;;
;;Z-EL-009;;;REC-00078;;;;
;;Z-FW-010;;;", REC-00520
, REC-00227";Z-FW-011;", REC-00520
, REC-00227";;
;;;;;;Z-FW-012;, REC-00520;;PIO22RM-037
;;;;;;Z-FW-013;", REC-00520
, REC-00227";;
;;;;;;Z-FW-014;", REC-00520
, REC-00227";;
;;;;;;Z-FW-051;, REC-00520;;
;;Z-FW-015;;;, REC-00520;Z-FW-103;, REC-00520;;
;;;;;;Z-FW-104;, REC-00520;;
;;Z-FW-054;;;, REC-00520;;;;
;;Z-FW-059;;;, REC-00520;Z-FW-056;, REC-00520;;
UR-055;With the system the user must be able to adjust the image illumination of digital microscopic magnified image.;SSRS-MPA-034;"MPA-SIP
";"
T-UI-MPA-RSP-006

T-IB-MPA-RSP-007";REC-00884;;;;
;;SSRS-MPA-062;MPA-SIP;T-UI-MPA-RSP-038;REC-00884;;;;
;;SSRS-MPA-064;MPA-SIP;T-UI-MPA-RSP-040;REC-00884;;;;
;;SSRS-MPA-066;MPA-SIP;T-UI-MPA-RSP-042;REC-00884;;;;
;;SSRS-MPA-122;MPA;T-S-MPA-010;REC-00884;;;;
;;SSRS-MPA-123;MPA;T-S-MPA-008;REC-00884;;;;
;;SSRS-MPA-124;MPA;T-S-MPA-009;REC-00884;;;;
;;SSRS-MPA-168;MPA;"	
T-IB-MPA-RSP-007

T-SF-MPA-RSP-001";REC-00884;;;;
;;SSRS-MPA-169;MPA;T-SF-MPA-RSP-006;REC-00884;;;;
;;SSRS-MPA-170;MPA;T-SF-MPA-RSP-001;REC-00884;;;;
;;SSRS-MPA-171;MPA;"T-IB-MPA-RSP-008

T-IB-MPA-RSP-009

T-SF-MPA-RSP-002";REC-00884;;;;
;;SSRS-MPA-172;MPA;T-SF-MPA-RSP-003;REC-00884;;;;
;;SSRS-MPA-173;MPA;"	
T-INT-MPNG-014

T-INT-MPNG-019";REC-00884;;;;
;;SSRS-MPA-174;PPI;"T-INT-MPNG-017

T-INT-MPNG-018";REC-00737;;;;
;;SSRS-MPA-175;MPA;"	
T-SF-MPA-RSP-004";REC-00884;;;;
;;SSRS-MPA-176;MPA;"	
T-SF-MPA-RSP-005";REC-00884;;;;
;;XY-FW-026;;;"REC-00085 REC-00263
REC-00901
REC-00227";;;;
;;Z-EL-001;;;REC-00068;;;;
;;Z-FW-023;;;", REC-00520
, REC-00227";;;;
UR-056;With the system the user must be able to access information that explains how system features are intended to be used.;SSRS-MPA-064;MPA-SIP;T-UI-MPA-RSP-040;REC-00884;;;;
;;SSRS-MPA-205;MPA-SIP;T-UI-MPA-RSP-016;REC-00884;;;;
;;SSRS-MPA-206;MPA-SIP;"	
T-UI-MPA-RSP-017";REC-00884;;;;
